Dataset,Seed,Alpha,L_RMSE,L_F1,L_AUPRC,L_RME_All,L_RME_Nz,E_RMSE,E_F1,E_AUPRC,E_RME_All,E_RME_Nz
Dataset_III,v8,10.0,1.1029638555856525,0.0,0.005,0.9999999999937003,0.9999999999937003,1.1029638555856525,0.0,0.005,0.9999999999937003,0.9999999999937003
Dataset_III,v8,1.0,1.1029638555856525,0.0,0.005,0.9999999999937003,0.9999999999937003,0.9031591806078735,0.18181818181818182,0.10450000000000001,0.9973994891533607,0.9973994891533606
Dataset_III,v8,0.1,0.3866342917819979,0.5294117647058824,0.3632000000000001,0.9828702681722205,0.9828702681722205,0.30477202888430793,0.6097560975609756,0.49518075639599557,0.9801613806366575,0.980160804902721
Dataset_III,v8,0.01,0.28559512187280367,0.26881720430107525,0.4827696728558798,0.9763200906888111,0.9763041776051563,0.3039526677316187,0.21138211382113822,0.49652937298931415,0.9781841423539496,0.9781632166896064
Dataset_III,v8,0.001,0.3003057850178013,0.20491803278688525,0.4587188899921371,0.9767111861034244,0.9766838329339391,0.34231357608044827,0.16120906801007556,0.5582310344111339,0.9820456946945039,0.9820154413730714
Dataset_III,v9,10.0,0.8329379951548889,0.0,0.005,0.9999999999931817,0.9999999999931817,0.8329379951548889,0.0,0.005,0.9999999999931817,0.9999999999931817
Dataset_III,v9,1.0,0.8329379951548889,0.0,0.005,0.9999999999931817,0.9999999999931817,0.7468659885337123,0.14814814814814814,0.08460000000000001,0.997967795417379,0.997967795417379
Dataset_III,v9,0.1,0.3797082428551118,0.45454545454545453,0.3035,0.9787310443830669,0.9787309957779149,0.3362186311853899,0.41509433962264153,0.41561292517006804,0.9773924359932423,0.9773845969359422
Dataset_III,v9,0.01,0.3625295878712099,0.1926605504587156,0.37781279503105597,0.9741461262363876,0.974103990619649,0.38203540942115927,0.18518518518518517,0.4254074332367319,0.9763189966708957,0.9762690084248332
Dataset_III,v9,0.001,0.38729886593345264,0.17142857142857143,0.3655112415191588,0.9739532298303692,0.9738925203603189,0.3915634617556207,0.15201900237529692,0.49326498210589803,0.9819279452557818,0.9818644770134357
Dataset_IV,v0,10.0,0.9924919730767409,0.0,0.005,0.9999999999923159,0.9999999999923159,0.9924919730767409,0.0,0.005,0.9999999999923159,0.9999999999923159
Dataset_IV,v0,1.0,0.9924919730767409,0.0,0.005,0.9999999999923159,0.9999999999923159,0.8869133700712469,0.18181818181818182,0.10450000000000001,0.9968226547024648,0.9968226547024647
Dataset_IV,v0,0.1,0.2908487902064461,0.5074626865671642,0.34330000000000005,0.9728892110660967,0.9728892110660966,0.1956125823671022,0.6486486486486487,0.48260000000000003,0.9709385185236027,0.9709385185236026
Dataset_IV,v0,0.01,0.15131704168564725,0.2545454545454545,0.5193816220741171,0.9639186359455209,0.9639141686449245,0.16422042083794097,0.1712538226299694,0.5446545454545455,0.9657006174493171,0.9656896803486521
Dataset_IV,v0,0.001,0.1823984119035873,0.12705882352941175,0.499562796027502,0.9642903509891215,0.9642686986499955,0.19661430109554517,0.10426540284360189,0.5827564886086398,0.9715502109350043,0.9715271716764207
Dataset_IV,v1,10.0,0.9386055127040247,0.0,0.005,0.9999999999919817,0.9999999999919817,0.9386055127040247,0.0,0.005,0.9999999999919817,0.9999999999919817
Dataset_IV,v1,1.0,0.9386055127040247,0.0,0.005,0.9999999999919817,0.9999999999919817,0.9088562274106167,0.14814814814814814,0.08460000000000001,0.9986717999414515,0.9986717999414517
Dataset_IV,v1,0.1,0.35866855040492,0.5915492957746479,0.42290000000000005,0.969769926643891,0.9697699266438913,0.2687605098331965,0.6419753086419753,0.5208900284900285,0.9660158278071339,0.9660154548543103
Dataset_IV,v1,0.01,0.2529040382811245,0.17567567567567569,0.4821100588115479,0.9574961444097919,0.9574659411114698,0.2811590636409389,0.14457831325301204,0.5408237019535845,0.9607623434426965,0.9607166428194829
Dataset_IV,v1,0.001,0.29984334985333333,0.12064965197215777,0.4527461151230254,0.9575512046789276,0.957481394078355,0.3142365089909818,0.11801242236024845,0.6490654657627147,0.9703782533032677,0.970296620922574
